scenario_id,option_type,spot,strike,maturity,rate,volatility,n_paths,n_steps,price,stderr,ci_low,ci_high
baseline_call,call,100.0,100.0,1.0,0.03,0.2,50000,252,9.413475333938258,0.06332406645096822,9.289360163694361,9.537590504182155
high_vol_call,call,100.0,100.0,1.0,0.03,0.35,50000,252,15.218432918084025,0.11770653185008592,14.987728115657857,15.449137720510192
deep_itm_put,put,80.0,100.0,0.5,0.03,0.25,50000,126,19.443703192251384,0.055342886707334046,19.33523113430501,19.55217525019776
long_maturity_call,call,100.0,105.0,2.0,0.03,0.22,60000,504,12.923008362534157,0.09111821555770826,12.744416660041049,13.101600065027265
